=== Memory Manager Initialized ===
ALLOC: 0x7212248ca070, size 3072000, type stbi_load_from_memory, at /mnt/d/FITD/FitdLib/hdBackground.cpp:78
ALLOC: 0x721224bb8080, size 3072000, type stbi_load_from_memory, at /mnt/d/FITD/FitdLib/hdBackground.cpp:78
ALLOC: 0x721224ea6090, size 3072000, type stbi_load_from_memory, at /mnt/d/FITD/FitdLib/hdBackground.cpp:78
ALLOC: 0x7212251940a0, size 3072000, type stbi_load_from_memory, at /mnt/d/FITD/FitdLib/hdBackground.cpp:78
ALLOC: 0x7212254820b0, size 3072000, type stbi_load_from_memory, at /mnt/d/FITD/FitdLib/hdBackground.cpp:78
ALLOC: 0x7212257700c0, size 3072000, type stbi_load_from_memory, at /mnt/d/FITD/FitdLib/hdBackground.cpp:78
ALLOC: 0x721225a5e0d0, size 3072000, type stbi_load_from_memory, at /mnt/d/FITD/FitdLib/hdBackground.cpp:78
ALLOC: 0x721225d4c0e0, size 3072000, type stbi_load_from_memory, at /mnt/d/FITD/FitdLib/hdBackground.cpp:78
ALLOC: 0x72122603a0f0, size 3072000, type stbi_load_from_memory, at /mnt/d/FITD/FitdLib/hdBackground.cpp:78
ALLOC: 0x721226328100, size 3072000, type stbi_load_from_memory, at /mnt/d/FITD/FitdLib/hdBackground.cpp:78
ALLOC: 0x721226616110, size 3072000, type stbi_load_from_memory, at /mnt/d/FITD/FitdLib/hdBackground.cpp:78
ALLOC: 0x721226904120, size 3072000, type stbi_load_from_memory, at /mnt/d/FITD/FitdLib/hdBackground.cpp:78
ALLOC: 0x721226bf2130, size 3072000, type stbi_load_from_memory, at /mnt/d/FITD/FitdLib/hdBackground.cpp:78
ALLOC: 0x721226ee0140, size 3072000, type stbi_load_from_memory, at /mnt/d/FITD/FitdLib/hdBackground.cpp:78
ALLOC: 0x7212f0310510, size 64, type malloc, at /mnt/d/FITD/FitdLib/hdBackground.cpp:469
ALLOC: 0x7212271ce150, size 4096000, type malloc, at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163
FREE: 0x7212271ce150, size 4096000, type malloc (was /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163), freed via free at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:102
ALLOC: 0x7212271ce150, size 4096000, type malloc, at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163
FREE: 0x7212271ce150, size 4096000, type malloc (was /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163), freed via free at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:102
ALLOC: 0x7212271ce150, size 4096000, type malloc, at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163
FREE: 0x7212271ce150, size 4096000, type malloc (was /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163), freed via free at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:102
ALLOC: 0x7212271ce150, size 4096000, type malloc, at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163
FREE: 0x7212271ce150, size 4096000, type malloc (was /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163), freed via free at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:102
ALLOC: 0x7212271ce150, size 4096000, type malloc, at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163
FREE: 0x7212271ce150, size 4096000, type malloc (was /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163), freed via free at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:102
ALLOC: 0x7212271ce150, size 4096000, type malloc, at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163
FREE: 0x7212271ce150, size 4096000, type malloc (was /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163), freed via free at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:102
ALLOC: 0x7212271ce150, size 4096000, type malloc, at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163
FREE: 0x7212271ce150, size 4096000, type malloc (was /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163), freed via free at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:102
ALLOC: 0x7212271ce150, size 4096000, type malloc, at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163
FREE: 0x7212271ce150, size 4096000, type malloc (was /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163), freed via free at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:102
ALLOC: 0x7212271ce150, size 4096000, type malloc, at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163
FREE: 0x7212271ce150, size 4096000, type malloc (was /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163), freed via free at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:102
ALLOC: 0x7212271ce150, size 4096000, type malloc, at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163
FREE: 0x7212271ce150, size 4096000, type malloc (was /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163), freed via free at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:102
ALLOC: 0x7212271ce150, size 4096000, type malloc, at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163
FREE: 0x7212271ce150, size 4096000, type malloc (was /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163), freed via free at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:102
ALLOC: 0x7212271ce150, size 4096000, type malloc, at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163
FREE: 0x7212271ce150, size 4096000, type malloc (was /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163), freed via free at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:102
ALLOC: 0x7212271ce150, size 4096000, type malloc, at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163
FREE: 0x7212271ce150, size 4096000, type malloc (was /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163), freed via free at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:102
ALLOC: 0x7212271ce150, size 4096000, type malloc, at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163
FREE: 0x7212271ce150, size 4096000, type malloc (was /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163), freed via free at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:102
ALLOC: 0x7212271ce150, size 4096000, type malloc, at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163
FREE: 0x7212271ce150, size 4096000, type malloc (was /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163), freed via free at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:102
ALLOC: 0x7212271ce150, size 4096000, type malloc, at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163
FREE: 0x7212271ce150, size 4096000, type malloc (was /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163), freed via free at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:102
ALLOC: 0x7212271ce150, size 4096000, type malloc, at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163
FREE: 0x7212271ce150, size 4096000, type malloc (was /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163), freed via free at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:102
ALLOC: 0x7212271ce150, size 4096000, type malloc, at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163
FREE: 0x7212271ce150, size 4096000, type malloc (was /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163), freed via free at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:102
ALLOC: 0x7212271ce150, size 4096000, type malloc, at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163
FREE: 0x7212271ce150, size 4096000, type malloc (was /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163), freed via free at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:102
ALLOC: 0x7212271ce150, size 4096000, type malloc, at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163
FREE: 0x7212271ce150, size 4096000, type malloc (was /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163), freed via free at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:102
ALLOC: 0x7212271ce150, size 4096000, type malloc, at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163
FREE: 0x7212271ce150, size 4096000, type malloc (was /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163), freed via free at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:102
ALLOC: 0x7212271ce150, size 4096000, type malloc, at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163
FREE: 0x7212271ce150, size 4096000, type malloc (was /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163), freed via free at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:102
ALLOC: 0x7212271ce150, size 4096000, type malloc, at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163
FREE: 0x7212271ce150, size 4096000, type malloc (was /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163), freed via free at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:102
ALLOC: 0x7212271ce150, size 4096000, type malloc, at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163
FREE: 0x7212271ce150, size 4096000, type malloc (was /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163), freed via free at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:102
ALLOC: 0x7212271ce150, size 4096000, type malloc, at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163
FREE: 0x7212271ce150, size 4096000, type malloc (was /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163), freed via free at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:102
ALLOC: 0x7212271ce150, size 4096000, type malloc, at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163
FREE: 0x7212271ce150, size 4096000, type malloc (was /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163), freed via free at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:102
ALLOC: 0x7212271ce150, size 4096000, type malloc, at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163
FREE: 0x7212271ce150, size 4096000, type malloc (was /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163), freed via free at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:102
ALLOC: 0x7212271ce150, size 4096000, type malloc, at /mnt/d/FITD/FitdLib/hdBackgroundRenderer.cpp:163
